LebwohlLasher: Size: 50, Steps: 50, T*: 0.500: Order: 0.340, Time: 0.517040 s
         1003067 function calls (988177 primitive calls) in 0.967 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      146    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
       18    0.000    0.000    0.003    0.000 rcsetup.py:799(validate_cycler)
      412    0.000    0.000    0.001    0.000 colors.py:221(is_color_like)
      409    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      593    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.249    0.249 pyplot.py:1(<module>)
       44    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      363    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      455    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       65    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       36    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
      710    0.000    0.000    0.000    0.000 types.py:176(__get__)
      244    0.000    0.000    0.001    0.000 typing.py:947(__init__)
     1613    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      189    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
     55/8    0.000    0.000    0.001    0.000 core.py:3635(leave_whitespace)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
      731    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      668    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      420    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      959    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     1274    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
     1877    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
       39    0.000    0.000    0.001    0.000 typing.py:532(Literal)
  126/115    0.000    0.000    0.014    0.000 _docstring.py:79(__call__)
      210    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       64    0.000    0.000    0.000    0.000 core.py:4349(__init__)
      241    0.000    0.000    0.001    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
     78/4    0.000    0.000    0.001    0.000 core.py:909(_parseCache)
      696    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
   256/18    0.000    0.000    0.001    0.000 ast.py:414(visit)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
      210    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      132    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
     1534    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      374    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
       79    0.000    0.000    0.000    0.000 core.py:3601(__init__)
        1    0.000    0.000    0.024    0.024 Image.py:1(<module>)
